Designator,Mid X,Mid Y,Rotation,Layer
D1,65.650363,-81.249637,100.0,top
D10,47.953069,-79.975624,256.0,top
D11,45.853069,-79.425624,255.0,top
D12,43.753069,-78.825624,253.0,top
D13,69.052796,-73.928659,205.0,top
D14,53.502796,-74.328659,350.0,top
D2,67.800363,-80.799637,104.0,top
D3,69.950363,-80.149637,110.0,top
D4,71.950363,-79.349637,112.0,top
D5,73.950363,-78.449637,115.0,top
D6,75.950363,-77.349637,120.0,top
D7,54.353069,-81.275624,262.0,top
D8,52.203069,-80.925624,260.0,top
D9,50.053069,-80.475624,257.5,top
R1,63.802796,-74.578659,142.0,top
R10,71.594342,-67.278659,100.0,top
R2,64.802796,-72.878659,158.0,top
R3,65.152796,-70.678659,185.0,top
R4,62.216624,-76.010066,120.0,top
R5,59.966624,-76.610066,90.0,top
R6,58.066624,-76.360066,75.0,top
R7,71.602796,-70.878659,80.0,top
R8,49.902796,-72.728659,150.0,top
R9,50.652796,-71.428659,330.0,top
SW1,84.752796,-63.178659,27.0,top
SW2,88.152796,-69.728659,27.0,top
SW3,82.052796,-57.728659,27.0,top
U1,85.3538143236437,-63.88958833472914,153.0,bottom
